16.057131052017212, false, a -0.5263672, a 0.57128906, a 0.73339844, q 0.84834635, q 0.32715565, q 0.57128906, q 0.73339844, e -15, e -2, e -1, e -10, e -7, e 1, e 1, e 0
16.085698008537292, false, a -0.5185547, a 0.5258789, a 0.7421875, q 0.852053, q 0.32580653, q 0.5258789, q 0.7421875, e -5, e -4, e 0, e -9, e -4, e -2, e -2, e -1
16.088356018066406, false, a -0.5151367, a 0.49121094, a 0.7426758, q 0.85596806, q 0.324345, q 0.49121094, q 0.7426758, e -4, e -3, e -2, e -4, e -3, e 2, e 1, e -1
16.116628050804138, false, a -0.51904297, a 0.4741211, a 0.76171875, q 0.85975575, q 0.32294247, q 0.4741211, q 0.76171875, e -4, e -2, e 0, e -2, e 1, e 2, e 0, e -3
16.145820021629333, false, a -0.53564453, a 0.4555664, a 0.78271484, q 0.86318946, q 0.32215485, q 0.4555664, q 0.78271484, e -2, e 0, e -2, e -6, e 2, e 0, e -1, e -1
16.176212072372437, false, a -0.55029297, a 0.43652344, a 0.81591797, q 0.866493, q 0.32148623, q 0.43652344, q 0.81591797, e 0, e -4, e 1, e -2, e -2, e -1, e 1, e -3
16.236451983451843, false, a -0.5595703, a 0.44580078, a 0.8256836, q 0.8697292, q 0.3208763, q 0.44580078, q 0.8256836, e -1, e -1, e -2, e -1, e 7, e -2, e -1, e -2
16.238741993904114, false, a -0.55859375, a 0.4663086, a 0.85498047, q 0.8729348, q 0.32031617, q 0.4663086, q 0.85498047, e -2, e 0, e 1, e -1, e -7, e -1, e -3, e 0
16.265686988830566, false, a -0.50439453, a 0.47216797, a 0.8515625, q 0.88417953, q 0.31427863, q 0.47216797, q 0.8515625, e 1, e -2, e -3, e -5, e -1, e -2, e -1, e 1
16.295477986335754, false, a -0.5029297, a 0.45996094, a 0.86865234, q 0.8889836, q 0.30908433, q 0.45996094, q 0.86865234, e -5, e -2, e -5, e -4, e -3, e 2, e -1, e 0
16.29829204082489, false, a -0.51220703, a 0.4008789, a 0.8857422, q 0.8944889, q 0.30084857, q 0.4008789, q 0.8857422, e 2, e 0, e -4, e -3, e 0, e -1, e -2, e -1
16.32647407054901, false, a -0.5214844, a 0.3515625, a 0.9296875, q 0.9003548, q 0.28986406, q 0.3515625, q 0.9296875, e -1, e -1, e 9, e 0, e -2, e -1, e -2, e -1
16.355854034423828, false, a -0.55908203, a 0.31640625, a 0.97314453, q 0.9057898, q 0.27814582, q 0.31640625, q 0.97314453, e -3, e 1, e 2, e 9, e 2, e 0, e 0, e -2
16.35730504989624, false, a -0.55615234, a 0.32714844, a 0.96875, q 0.91020745, q 0.26832566, q 0.32714844, q 0.96875, e 0, e -3, e -6, e -7, e -3, e 0, e -1, e 0
16.386034965515137, false, a -0.5444336, a 0.30322266, a 0.9711914, q 0.9142104, q 0.2593457, q 0.30322266, q 0.9711914, e 2, e -5, e -9, e 1, e -2, e -2, e 1, e 2
16.415454983711243, false, a -0.5053711, a 0.3461914, a 0.92089844, q 0.9173401, q 0.25214797, q 0.3461914, q 0.92089844, e 1, e 1, e -4, e -2, e 0, e 2, e 0, e 1
16.445682048797607, false, a -0.5239258, a 0.35595703, a 0.91308594, q 0.9195013, q 0.24786557, q 0.35595703, q 0.91308594, e -7, e -2, e -2, e 0, e -1, e -1, e 1, e 1
16.447846055030823, false, a -0.5605469, a 0.39208984, a 0.8588867, q 0.92053574, q 0.24658297, q 0.39208984, q 0.8588867, e 3, e 0, e 4, e 5, e 3, e 2, e -2, e -2
16.475463032722473, false, a -0.55859375, a 0.3330078, a 0.8457031, q 0.92084813, q 0.24652387, q 0.3330078, q 0.8457031, e 2, e 2, e 1, e -4, e 0, e -2, e -1, e -3
16.477640986442566, false, a -0.5761719, a 0.28173828, a 0.8417969, q 0.9205574, q 0.24561217, q 0.28173828, q 0.8417969, e 5, e -1, e -8, e 3, e 5, e 1, e 1, e 0
16.50653600692749, false, a -0.58447266, a 0.2939453, a 0.90234375, q 0.9193467, q 0.24457723, q 0.2939453, q 0.90234375, e -6, e -1, e 11, e 2, e 2, e 1, e -3, e -4
